tool		Apalache v0.24.0-22-g43d1c3f6	Apalache v0.24.0-22-g43d1c3f6	Apalache v0.24.0-22-g43d1c3f6	Apalache v0.24.0-22-g43d1c3f6
run set		[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APABakery-APABakery.yml	0	true	564.5623331	558.3789844800001	483.581952
002bmc-apalache-001-APAEWD840-APAEWD840.yml	1	true	2101.1782575	2090.7726824379997	1005.527040
002bmc-apalache-001-APAEWD840-APAEWD840.yml	2	true	2223.8830412	2213.920224447	982.786048
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	3	true	207.0116239	203.79626615799998	263.360512
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	4	true	129.5378419	125.24381451099998	337.563648
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	5	true	126.0823338	121.95818126800077	320.876544
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	6	true	33.5563054	29.438183070000377	295.907328
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	7	true	2422.8837293	2417.553756006	325.197824
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	8	true	1984.2464311	1974.5321727279998	1336.451072
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	9	true	1011.0551483	1002.7584213410009	1269.899264
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	10	true	28.6824989	21.94299190499987	595.378176
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	11	true	11.1471446	6.999514224999984	351.137792
002bmc-apalache-001-APAraft-APAraft.yml	12	PARSING ERROR	7.2363284	4.099763158999849	259.665920
002bmc-apalache-001-APAtraffic-APATraffic.yml	13	true	4.6318692	2.9172812350000186	224.829440
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	14	true	1175.5982882	1168.7796984929992	562.454528
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	15	true	4579.8877795	4570.570731138001	579.297280
