tool		Apalache v0.24.1-172-g4db1b818	Apalache v0.24.1-172-g4db1b818	Apalache v0.24.1-172-g4db1b818	Apalache v0.24.1-172-g4db1b818
run set		[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APABakery-APABakery.yml	0	true	649.8489408	643.3603361249999	442.126336
002bmc-apalache-001-APAEWD840-APAEWD840.yml	1	true	2026.0896944	2014.4518143569999	1180.049408
002bmc-apalache-001-APAEWD840-APAEWD840.yml	2	true	2407.3412275	2395.3533313410003	1007.034368
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	3	true	248.0935621	244.348764884	266.805248
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	4	true	139.2494356	134.74868509800035	330.260480
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	5	true	121.2639424	116.6924479069994	331.317248
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	6	true	44.7499512	40.14716269099881	299.622400
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	7	true	1986.501166	1980.5943482210005	326.844416
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	8	true	1544.3551523	1533.3969148509996	1313.656832
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	9	true	1879.2245171	1868.325530391001	1278.562304
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	10	true	34.9002583	26.48223373499968	617.295872
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	11	true	14.084918	9.283430913999837	345.837568
002bmc-apalache-001-APAraft-APAraft.yml	12	PARSING ERROR	8.7878577	4.790846270003385	275.136512
002bmc-apalache-001-APAtraffic-APATraffic.yml	13	true	5.3923307	3.26747302199999	229.744640
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	14	true	3561.4751707	3551.92308572	515.936256
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	15	true	5708.6866495	5697.650191858	664.727552
