tool		Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c
run set		010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-0					true	3.4218242	2.192605984000693	180.854784
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-1					true	3.446228	2.205076240999915	185.139200
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-2					true	3.5683954	2.23657623300096	184.582144
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-3					true	3.776811	2.4117608060005296	214.269952
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-4					true	4.5662917	3.1164086459975806	216.432640
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-0	true	3.4067022	2.1849765660008416	182.759424				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-1	true	3.5235442	2.2359986230003415	209.129472				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-2	true	3.6378299	2.304692903999239	194.289664				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-3	true	3.8834121	2.4436902349989396	212.262912				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-4	true	5.2805439	3.751759499999025	221.470720				
