tool		Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c
run set		010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-0					true	3.9188895	2.4265693570014264	188.096512
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-1					true	4.1152016	2.5281295709974074	198.819840
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-2					true	4.3896788	2.6966786539996974	226.131968
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-3					true	5.4774858	3.5041121970025415	233.865216
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-4					true	20.0759274	17.584742230999836	272.314368
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-0	true	3.888065	2.3864656270015985	210.358272				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-1	true	4.0770572	2.4807835369974782	190.156800				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-2	true	4.3847009	2.6998301800012996	220.475392				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-3	true	4.5387612	2.7168645310011925	226.578432				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-4	true	5.1170814	3.173567065001407	233.385984				
