tool		Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03
run set		010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-0					true	3.5677394	2.2408076649990107	207.093760
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-1					true	3.6324985	2.2951470369989693	193.351680
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-2					true	3.8173783	2.3546704969994607	197.660672
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-3					true	4.1190883	2.543628825002088	218.439680
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-4					true	5.9866379	3.765406897000503	240.369664
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-0	true	3.5162035	2.1703779740018945	182.386688				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-1	true	3.5301239	2.2389758600002097	184.410112				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-2	true	3.7393499	2.3487963849984226	193.351680				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-3	true	4.427897	2.8584817760020087	215.789568				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-4	true	7.5440871	5.831619499000226	225.271808				
