tool		Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03
run set		010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-0					true	4.0313575	2.4890661390018067	206.168064
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-1					true	4.0781911	2.5057625609988463	194.940928
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-2					true	4.400115	2.662703642999986	213.934080
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-3					true	5.7940832	3.8467060069997387	233.078784
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-4					true	17.7439496	15.65566820699678	235.188224
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-0	true	3.8692942	2.3290720309996686	186.994688				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-1	true	3.9697453	2.3922591030022886	188.178432				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-2	true	4.3227322	2.5876572980014316	229.613568				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-3	true	4.5678109	2.7379650240000046	225.660928				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-4	true	5.1513138	3.167187332001049	228.790272				
