tool		Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa
run set		010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-0					true	3.7999404	2.317336410998905	189.739008
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-1					true	4.1211947	2.4942817880000803	200.716288
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-2					true	4.3179239	2.606298668999443	213.078016
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-3					true	5.7505171	3.838276176000363	229.588992
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-4					true	16.1850822	14.07156885600125	235.331584
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-0	true	3.8528785	2.332792684999731	191.033344				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-1	true	4.0452824	2.433956611001122	200.286208				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-2	true	4.2365062	2.462370382001609	223.956992				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-3	true	4.5292428	2.6637798989995645	228.372480				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-4	true	4.9013021	2.921356431001186	229.146624				
