tool		Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb
run set		010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-0					true	3.5010997	2.2020702289992187	187.482112
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-1					true	3.6515199	2.257281226999112	191.541248
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-2					true	3.7317891	2.3243832859989197	192.233472
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-3					true	4.03021	2.4682806210003037	225.193984
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-4					true	5.6714721	3.9953925360005087	228.655104
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-0	true	3.5134314	2.1776875069990638	192.774144				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-1	true	3.6602481	2.2797498739982984	191.201280				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-2	true	3.8953014	2.415490347000741	221.769728				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-3	true	4.0015602	2.4579797879996477	226.918400				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-4	true	5.6586221	3.9253371929989953	228.605952				
