tool		Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb
run set		010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-0					true	4.0897734	2.503681878999487	198.799360
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-1					true	4.2940352	2.5873595220000425	199.536640
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-2					true	4.7171221	2.8046129389986163	232.099840
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-3					true	5.9413816	3.9558994850012823	231.370752
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-4					true	17.5692007	14.930621102001169	270.741504
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-0	true	4.2587269	2.4988412679995236	201.314304				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-1	true	4.3276269	2.6029840459996194	230.514688				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-2	true	4.5274583	2.6402015580024454	218.697728				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-3	true	4.8450635	2.854336337000859	237.871104				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-4	true	5.3245155	3.097863481998502	243.318784				
