tool		Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a
run set		010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-0					true	4.7234907	2.8860889169991424	198.397952
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-1					true	5.0203952	3.020139961001405	200.409088
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-2					true	5.7302537	3.461105903999851	253.825024
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-3					true	7.813049	5.327876160001324	234.164224
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-4					true	27.4861997	24.798084451998875	270.610432
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-0	true	4.883781	2.9769955680021667	197.017600				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-1	true	5.2743353	3.205972527000995	225.714176				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-2	true	5.6670559	3.475983560001623	251.736064				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-3	true	5.9994098	3.59354528699987	231.305216				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-4	true	7.0442456	4.143829738000932	246.489088				
