tool		Apalache v0.29.2-11-gda6361c0d	Apalache v0.29.2-11-gda6361c0d	Apalache v0.29.2-11-gda6361c0d	Apalache v0.29.2-11-gda6361c0d
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.8273449	0.8765036219999729	50.573312
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.9006792	0.8949182709999945	50.368512
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.8271767	0.7774360210000282	50.454528
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.8427533	0.8338165940000408	50.536448
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.8433526	0.8584303969999496	52.133888
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.8371764	0.8819828889999712	50.630656
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.847785	0.8790423789999977	50.597888
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.8348739	0.8835176979999915	50.511872
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.8349389	0.893198190000021	50.577408
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.8217816	0.8538365750000025	50.581504
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.864786	1.1441656409999723	51.531776
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.8120669	0.8381668549999972	50.626560
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.8345384	0.8542709699999591	50.675712
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.8341636	0.8601720289999548	50.622464
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.8886704	0.9176031369999578	52.293632
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.858853	0.8113799839999842	50.511872
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.875652	0.878795475000004	50.561024
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.8653844	0.8802887809999902	52.260864
