tool		Apalache v0.29.2-11-gda6361c0d	Apalache v0.29.2-11-gda6361c0d	Apalache v0.29.2-11-gda6361c0d	Apalache v0.29.2-11-gda6361c0d
run set		[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]
/home/runner/work/apalache-bench/apalache-bench/examples/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-0	ERROR (1)	0.8745208	0.8990517569999952	50.655232
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-1	ERROR (1)	0.8273782	0.8500253189999967	50.696192
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-2	ERROR (1)	0.8533849	0.8697686319999889	52.088832
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-3	ERROR (1)	0.9122819	0.9340027279999958	50.663424
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-4	ERROR (1)	0.8305452	0.8596782140000414	50.733056
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-5	ERROR (1)	0.8339945	0.8498660120000068	50.749440
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-6	ERROR (1)	0.8257506	0.8564505819999795	50.630656
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-7	ERROR (1)	0.8212505	0.8310435679999841	50.626560
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-8	ERROR (1)	0.8437289	0.8538779429999863	50.683904
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-9	ERROR (1)	0.8391149	0.8348877210000296	50.618368
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-10	ERROR (1)	0.8096793	0.8361548080000034	50.544640
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-11	ERROR (1)	0.8333577	0.8644674800000303	50.540544
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-12	ERROR (1)	0.8481777	0.8706343940000352	50.536448
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-13	ERROR (1)	0.8520728	0.8740567389999683	50.663424
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-14	ERROR (1)	0.886134	0.8854721779999863	52.547584
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-15	ERROR (1)	0.8616184	0.8125464350000016	51.806208
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-16	ERROR (1)	0.8578524	0.8516244179999717	50.663424
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-17	ERROR (1)	0.831857	0.8591356549999887	52.588544
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-18	ERROR (1)	0.8473988	0.8678532790000304	50.577408
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-19	ERROR (1)	0.8203415	0.8309886409999763	50.651136
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-20	ERROR (1)	0.8604053	0.8664608189999967	50.663424
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-21	ERROR (1)	0.8238867	0.8488180029999626	50.810880
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-22	ERROR (1)	0.8445059	0.8794552379999914	50.470912
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-23	ERROR (1)	0.8200944	0.8305438659999709	52.613120
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-24	ERROR (1)	0.8952514	0.9307381759999771	50.601984
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-25	ERROR (1)	0.8367703	1.0008840929999678	50.380800
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-26	ERROR (1)	0.8190309	0.7842041590000122	50.380800
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-27	ERROR (1)	0.8275283	0.7960844290000182	50.642944
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-28	ERROR (1)	0.8321849	0.8247802960000286	50.503680
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-29	ERROR (1)	0.8402452	0.8813426419999928	50.573312
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-30	ERROR (1)	0.8253424	0.8676682650000203	50.614272
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-31	ERROR (1)	0.9205919	0.9284187110000062	52.457472
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-32	ERROR (1)	0.8378156	0.8679153960000008	52.609024
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-33	ERROR (1)	0.8971861	0.8489561400000412	50.614272
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-34	ERROR (1)	0.838656	0.8919628159999888	50.667520
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-35	ERROR (1)	0.8326841	0.8500803200000178	50.540544
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-36	ERROR (1)	0.8298727	0.8423882429999594	50.503680
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-37	ERROR (1)	0.82783	0.847209883000005	50.556928
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-38	ERROR (1)	0.8337209	0.8468304880000233	50.610176
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-39	ERROR (1)	0.8299224	0.8486717389999967	50.601984
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-40	ERROR (1)	0.8446823	0.8693809439999995	50.487296
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-41	ERROR (1)	0.8260813	0.8442220720000364	50.565120
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-42	ERROR (1)	0.8529262	0.8621837680000226	50.601984
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-43	ERROR (1)	0.8362813	0.8690709649999917	50.675712
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-44	ERROR (1)	0.8396204	0.8479000379999775	52.543488
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-45	ERROR (1)	0.8243674	0.8342979579999792	50.565120
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-46	ERROR (1)	0.878578	0.9048281419999853	50.376704
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-47	ERROR (1)	0.8892289	0.870582574000025	50.585600
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-48	ERROR (1)	0.8445496	0.8584797569999978	50.577408
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-49	ERROR (1)	0.8199181	0.8315278059999969	50.593792
