tool		Apalache v0.29.2-39-g51554e7d1	Apalache v0.29.2-39-g51554e7d1	Apalache v0.29.2-39-g51554e7d1	Apalache v0.29.2-39-g51554e7d1
run set		[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]
/home/runner/work/apalache-bench/apalache-bench/examples/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-0	ERROR (1)	0.7078337	0.7276433089999728	54.620160
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-1	ERROR (1)	0.7125339	0.7065089079999893	53.886976
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-2	ERROR (1)	0.7124024	0.7211192450000112	53.227520
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-3	ERROR (1)	0.7082568	0.719038573999967	53.010432
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-4	ERROR (1)	0.7093933	0.7396527089999836	53.149696
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-5	ERROR (1)	0.7084215	0.7363998089999768	53.157888
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-6	ERROR (1)	0.6966524	0.7001489090000064	53.006336
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-7	ERROR (1)	0.6971545	0.7098214079999821	52.998144
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-8	ERROR (1)	0.7097828	0.7287718210000094	53.178368
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-9	ERROR (1)	0.7015421	0.7089870190000056	53.067776
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-10	ERROR (1)	0.7084124	0.7175145200000088	53.202944
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-11	ERROR (1)	0.7327071	0.728798256999994	54.484992
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-12	ERROR (1)	0.6938136	0.713757567000016	52.961280
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-13	ERROR (1)	0.7080659	0.7274054260000185	53.116928
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-14	ERROR (1)	0.7083686	0.7315239810000094	56.442880
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-15	ERROR (1)	0.7063432	0.6899384749999626	54.779904
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-16	ERROR (1)	0.7070865	0.7321035669999674	53.334016
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-17	ERROR (1)	0.7110089	0.705129568000018	54.706176
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-18	ERROR (1)	0.7093853	0.7016204679999873	54.677504
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-19	ERROR (1)	0.7076097	0.7150253670000097	53.018624
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-20	ERROR (1)	0.7019513	0.7101433779999979	53.202944
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-21	ERROR (1)	0.6963203	0.6971313760000157	53.006336
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-22	ERROR (1)	0.7039739	0.7139325020000342	53.174272
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-23	ERROR (1)	0.7092842	0.7239807010000163	53.710848
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-24	ERROR (1)	0.7094787	0.7207377009999618	54.505472
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-25	ERROR (1)	0.7097903	0.7179480020000142	54.427648
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-26	ERROR (1)	0.7010737	0.7043784779999669	53.075968
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-27	ERROR (1)	0.7039152	0.6983647769999948	54.460416
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-28	ERROR (1)	0.7184938	0.7140269020000005	54.562816
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-29	ERROR (1)	0.7062934	1.0841958519999935	53.235712
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-30	ERROR (1)	0.7140945	0.7257634669999788	54.697984
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-31	ERROR (1)	0.708722	0.7233099670000342	53.227520
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-32	ERROR (1)	0.7079074	0.718090841999981	53.112832
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-33	ERROR (1)	0.7010742	0.6984255490000351	53.059584
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-34	ERROR (1)	0.7145453	0.724710253000012	53.141504
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-35	ERROR (1)	0.7127992	0.7188005419999968	53.055488
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-36	ERROR (1)	0.7106353	0.7001736739999842	52.961280
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-37	ERROR (1)	0.7086737	0.7174272350000024	53.075968
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-38	ERROR (1)	0.716542	0.7224263190000215	53.243904
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-39	ERROR (1)	0.7123743	0.7129930730000069	53.239808
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-40	ERROR (1)	0.7121907	0.6815982580000082	54.792192
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-41	ERROR (1)	0.7102611	0.7294754630000284	53.174272
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-42	ERROR (1)	0.7159615	0.6833108590000165	53.051392
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-43	ERROR (1)	0.7184627	0.7187618609999618	55.189504
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-44	ERROR (1)	0.6996746	0.6624923449999756	53.239808
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-45	ERROR (1)	0.7145941	0.7241520670000341	53.243904
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-46	ERROR (1)	0.7058129	0.6702484579999464	54.554624
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-47	ERROR (1)	0.7051977	0.7221834619999754	53.104640
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-48	ERROR (1)	0.7167992	0.6961180569999783	54.661120
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-49	ERROR (1)	0.7059184	0.6860495530000321	54.321152
