tool		Apalache v0.29.2-60-g95eebcd73	Apalache v0.29.2-60-g95eebcd73	Apalache v0.29.2-60-g95eebcd73	Apalache v0.29.2-60-g95eebcd73
run set		[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]
/home/runner/work/apalache-bench/apalache-bench/examples/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-0	ERROR (1)	0.7166308	0.7435379250000551	53.235712
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-1	ERROR (1)	0.7012814	0.6881792379999752	52.973568
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-2	ERROR (1)	0.7088913	0.7186856309999712	53.202944
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-3	ERROR (1)	0.6979407	0.7029908339999338	53.145600
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-4	ERROR (1)	0.7225359	0.725259326000014	53.125120
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-5	ERROR (1)	0.7092599	0.7206149280000318	53.202944
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-6	ERROR (1)	0.7186997	0.7347134269999742	53.321728
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-7	ERROR (1)	0.7234177	0.7242247300000599	54.616064
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-8	ERROR (1)	0.6526612	0.5178777359999458	52.674560
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-9	ERROR (1)	0.6926698	0.5937510150000662	55.914496
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-10	ERROR (1)	0.656358	0.47740679399998953	52.764672
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-11	ERROR (1)	0.6651857	0.4938972109999895	53.817344
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-12	ERROR (1)	0.6694697	0.541342061000023	52.830208
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-13	ERROR (1)	0.6687731	0.5285253470000271	52.965376
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-14	ERROR (1)	0.6644302	0.48047030899999754	54.636544
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-15	ERROR (1)	0.6698389	0.47695881099991766	52.752384
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-16	ERROR (1)	0.6695028	0.491166278000037	53.899264
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-17	ERROR (1)	0.6692608	0.4794228910000129	52.654080
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-18	ERROR (1)	0.6716054	0.48315128599995205	54.104064
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-19	ERROR (1)	0.6615199	0.48137690800001565	54.136832
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-20	ERROR (1)	0.6729062	0.5285363140000072	53.518336
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-21	ERROR (1)	0.6765166	0.4886516210000309	52.756480
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-22	ERROR (1)	0.6755487	0.5542724960000669	52.703232
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-23	ERROR (1)	0.6648822	0.48427080900000874	54.345728
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-24	ERROR (1)	0.6923225	0.5368231989999686	53.710848
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-25	ERROR (1)	0.6736211	0.5006075059999375	53.579776
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-26	ERROR (1)	0.6556994	0.4722718179999674	52.719616
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-27	ERROR (1)	0.6592744	0.49254670699997405	52.756480
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-28	ERROR (1)	0.6630586	0.48332000900006733	52.764672
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-29	ERROR (1)	0.6747202	0.5018492680000008	55.873536
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-30	ERROR (1)	0.6626493	0.48196538800004873	53.018624
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-31	ERROR (1)	0.6660312	0.4835612859999401	53.641216
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-32	ERROR (1)	0.6663011	0.47694197199996324	53.678080
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-33	ERROR (1)	0.6726658	0.47904484699995464	54.734848
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-34	ERROR (1)	0.6648487	0.4865253089999442	54.960128
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-35	ERROR (1)	0.6572798	0.484125009999957	52.838400
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-36	ERROR (1)	0.6531006	0.47539124800005084	52.772864
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-37	ERROR (1)	0.6644536	0.47938274699993144	53.047296
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-38	ERROR (1)	0.6746148	0.49636214199995266	53.886976
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-39	ERROR (1)	0.6555356	0.48404324500006624	52.961280
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-40	ERROR (1)	0.6592189	0.47374484900001335	53.587968
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-41	ERROR (1)	0.6636184	0.4761910480000324	53.846016
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-42	ERROR (1)	0.6744686	0.4864977899999303	54.124544
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-43	ERROR (1)	0.6667502	0.4759402920000184	53.927936
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-44	ERROR (1)	0.6781033	0.4883257899999762	53.932032
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-45	ERROR (1)	0.6713085	0.4867255890000024	54.833152
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-46	ERROR (1)	0.689275	0.5100171369999771	54.382592
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-47	ERROR (1)	0.6647441	0.4742341580000584	53.911552
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-48	ERROR (1)	0.6676989	0.4725292929999796	53.682176
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-49	ERROR (1)	0.6555307	0.4808904909999683	53.411840
