tool		Apalache v0.30.1-44-g0b3aa4e7e	Apalache v0.30.1-44-g0b3aa4e7e	Apalache v0.30.1-44-g0b3aa4e7e	Apalache v0.30.1-44-g0b3aa4e7e
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.7521941	0.7779647759999762	53.477376
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7105162	0.6727775290000864	52.912128
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.7462867	0.7766154579999238	53.448704
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.7605495	0.7691610790000141	53.497856
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.7416041	0.7564167410000664	53.207040
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.7442895	0.6873506890000272	53.452800
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.741416	0.7469960380000202	53.194752
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.7694766	0.7774639689999958	53.436416
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.7494979	0.7669928560000017	53.297152
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.7602741	0.8246465839999928	53.465088
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.7498996	0.7306787600000462	53.391360
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.7281356	0.7022615509999923	53.035008
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.7365093	0.7522214919999897	53.366784
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.735686	0.693611856000075	53.338112
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.7456624	0.7503635740000618	54.165504
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.7287219	0.7069881999999552	53.121024
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.721669	0.6823834340000303	52.830208
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.7396678	0.7121764580000445	53.444608
