tool		Apalache v0.30.1-91-gad8be0a66	Apalache v0.30.1-91-gad8be0a66	Apalache v0.30.1-91-gad8be0a66	Apalache v0.30.1-91-gad8be0a66
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.7095857	0.7219389100000058	55.140352
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7056647	0.6627644480000185	54.337536
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.6891719	0.6975433630000225	54.272000
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.7069856	0.7066939200000206	54.407168
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.7028019	0.6808359719999544	54.718464
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.7092379	0.6804684460000203	53.493760
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.7076829	0.6843169100000068	53.727232
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.7101123	0.7036866290000034	54.464512
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.6978275	0.6952548079999588	53.243904
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.6935347	0.6771569079999722	54.824960
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.7138314	0.693537947999971	54.849536
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.7100276	0.7058155940000006	54.751232
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.6987305	0.6631258959999968	54.427648
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.6868236	0.655128383000033	54.788096
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.7101755	0.7391343429999893	53.673984
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.6911599	0.6657515699999976	55.107584
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.7234636	0.7353172059999906	54.857728
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.7002433	0.7066874849999749	54.136832
