tool		Apalache v0.24.0-49-g0e348cb0	Apalache v0.24.0-49-g0e348cb0	Apalache v0.24.0-49-g0e348cb0	Apalache v0.24.0-49-g0e348cb0
run set		[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]	[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]	[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]	[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
001indinv-apalache-001-APABakery-APABakery.yml	0	true	11.3736766	7.171263124999996	501.178368
001indinv-apalache-001-APABakery-APABakery.yml	1	true	12.555705	7.809208219000027	531.755008
001indinv-apalache-001-APAEWD840-APAEWD840.yml	2	true	9.6082461	5.503920982000011	330.502144
001indinv-apalache-001-APAEWD840-APAEWD840.yml	3	true	6.5066024	3.9287181010000154	256.167936
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	4	true	12.2903845	7.472517195999956	449.130496
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	5	true	6.8838959	4.100580844999968	294.551552
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	6	true	7.4545549	4.331253813999979	309.833728
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	7	false	7.5338563	4.404279411999994	304.046080
