tool		Apalache v0.24.0-49-g0e348cb0	Apalache v0.24.0-49-g0e348cb0	Apalache v0.24.0-49-g0e348cb0	Apalache v0.24.0-49-g0e348cb0
run set		[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APABakery-APABakery.yml	0	true	632.5315734	626.475532737	481.157120
002bmc-apalache-001-APAEWD840-APAEWD840.yml	1	true	2127.9716267	2117.9741432419996	967.548928
002bmc-apalache-001-APAEWD840-APAEWD840.yml	2	true	2248.31501	2237.2360912630006	904.859648
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	3	true	207.7163935	204.52828587	266.043392
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	4	true	140.2231527	136.37520764599958	317.673472
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	5	true	131.0214608	127.0578203619998	321.482752
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	6	true	33.225853	29.07841050299976	300.752896
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	7	true	2428.6064303	2422.647931755	325.144576
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	8	true	1154.7230494	1146.225305463	1281.986560
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	9	true	1331.8015187	1322.6662137249996	1210.089472
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	10	true	33.6617605	26.635510050999983	620.617728
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	11	true	11.3807801	7.104550668999764	355.553280
002bmc-apalache-001-APAraft-APAraft.yml	12	PARSING ERROR	7.482269	4.2228041289999965	279.068672
002bmc-apalache-001-APAtraffic-APATraffic.yml	13	true	4.6319339	2.8973866530000123	225.583104
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	14	true	1270.2921687	1262.7845276650005	531.697664
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	15	true	4375.1339963	4365.181418504	672.923648
