tool		Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c
run set		[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]	[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]	[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]	[--init=Init.APABakery; --init=Inv.APABakery; --init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
001indinv-apalache-001-APABakery-APABakery.yml	-0	true	10.5256993	6.646758005999999	497.020928
001indinv-apalache-001-APABakery-APABakery.yml	-1	true	11.1572351	7.16816159199999	523.874304
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-2	true	9.0763937	5.066406263999994	329.428992
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-3	true	5.9601215	3.4673401790000185	286.371840
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-4	true	11.7855193	6.900529641000048	493.785088
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-5	true	7.0261471	3.8772723300000393	285.634560
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-6	true	6.8131398	4.0016633710000065	320.561152
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-7	false	6.877472	3.959527170000001	317.444096
