tool		Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c
run set		[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]	[MutualExlusion-invariant.APABakery; length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APABakery-APABakery.yml	-0	true	565.3639126	559.357586613	451.809280
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	true	2474.9116532	2464.410618979	1180.307456
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-2	true	2347.6215423	2337.329403271	1174.925312
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-3	true	234.5552676	231.353222459	266.547200
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	true	114.6330479	110.32857240300018	322.154496
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-5	true	115.1902462	110.99062517099992	339.841024
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	true	37.0599041	33.13790716299991	303.321088
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-7	true	2141.8147677	2136.439792867999	338.919424
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	true	1695.8809276	1686.6971807170003	1296.461824
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-9	true	1741.1810844	1732.057534950999	1266.028544
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	true	40.9813408	33.81214963799994	618.541056
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-11	true	11.2518664	7.12924624399966	333.524992
002bmc-apalache-001-APAraft-APAraft.yml	-12	PARSING ERROR	7.7236167	4.240468462998251	292.859904
002bmc-apalache-001-APAtraffic-APATraffic.yml	-13	true	4.6130456	2.7944645530000116	227.274752
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-14	true	3983.2795637	3974.057000039	522.121216
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-15	true	4335.9114685	4326.9493839020015	618.323968
