tool		Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c
run set		010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-0					true	3.5438851	2.2564902570011327	180.531200
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-1					true	3.7169669	2.3345419180004683	197.402624
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-2					true	3.9828652	2.499144063996937	198.631424
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-3					true	4.2633892	2.6216094970004633	213.966848
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-4					true	6.0084892	3.8104155129985884	232.075264
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-0	true	3.7024793	2.287092054000823	183.754752				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-1	true	3.6221433	2.287153754998144	182.317056				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-2	true	3.7135562	2.357873822998954	203.018240				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-3	true	4.4085161	2.8251459290004277	214.990848				
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-4	true	10.1298697	8.522662474999379	217.378816				
