tool		Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c	Apalache v0.25.0-64-gcbc38d0c
run set		010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-0					true	3.9468675	2.4274213749995397	210.100224
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-1					true	4.0429981	2.444502731999819	195.649536
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-2					true	4.4454306	2.6987444480000704	223.330304
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-3					true	4.7215747	2.7983344530002796	226.996224
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-4					true	4.7519484	2.8557953290001024	217.300992
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-0	true	3.8174735	2.365083486001822	187.858944				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-1	true	4.1693827	2.5589548959978856	200.937472				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-2	true	4.4924097	2.7216563610018056	228.347904				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-3	true	5.3857565	3.4477503239977523	233.332736				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-4	true	14.617523	12.027299860001222	255.930368				
