tool		Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03
run set		010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-0					true	3.3856562	2.14200363600321	185.135104
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-1					true	3.4791824	2.2307873419995303	209.997824
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-2					true	3.570957	2.240559886002302	193.437696
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-3					true	3.732614	2.3656269240018446	212.271104
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-4					true	5.1485573	3.62671069100179	217.305088
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-0	true	3.4174725	2.1651580830002786	181.825536				
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-1	true	3.532391	2.2301000920015213	182.915072				
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-2	true	3.5416011	2.235196754001663	184.430592				
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-3	true	3.7894367	2.3652645139991364	243.064832				
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-4	true	4.1836622	2.69878912400236	221.024256				
