tool		Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03	Apalache v0.25.1-91-gb3656d03
run set		010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-0					true	4.1374009	2.583757003001665	211.386368
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-1					true	4.6078941	2.8160623029980343	226.762752
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-2					true	5.2010341	3.139252173001296	248.664064
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-3					true	6.4032214	4.289613406999706	253.427712
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-4					true	16.4338617	13.66457936200095	295.325696
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-0	true	3.9609246	2.426518219999707	190.251008				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-1	true	4.4028595	2.6854039350000676	207.282176				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-2	true	4.5487001	2.7645890599997074	229.494784				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-3	true	4.9652956	3.042710593002994	249.679872				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-4	true	5.4108953	3.2051775229992927	259.497984				
