tool		Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f
run set		010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-0					true	3.3713463	2.1334348849995877	181.628928
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-1					true	3.3881327	2.134295400001065	183.402496
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-2					true	3.4133708	2.1562349980013096	184.524800
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-3					true	3.8132531	2.348344083999109	216.518656
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-4					true	5.2949031	3.8318417239988776	218.210304
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-0	true	3.388973	2.1272061799991206	184.287232				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-1	true	3.553453	2.2270116389991017	184.086528				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-2	true	3.5425982	2.2097886040010053	193.601536				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-3	true	3.6671015	2.2699475360004726	213.229568				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-4	true	5.2805057	3.7367070489999605	218.730496				
