tool		Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f
run set		010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-0					true	3.5167079	2.165073644999211	181.182464
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-1					true	3.5503102	2.2068237719995523	180.449280
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-2					true	3.6473508	2.2673660349992133	202.735616
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-3					true	4.2835434	2.7552714920002472	216.346624
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-4					true	10.0825933	8.393052154000543	220.008448
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-0	true	3.5104167	2.141879611001059	181.547008				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-1	true	3.5594708	2.1874943149996398	181.854208				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-2	true	3.7278562	2.2723631059998297	204.914688				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-3	true	3.9737949	2.4109038400001737	218.103808				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-4	true	5.8783052	4.124318701999073	227.188736				
