tool		Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f
run set		010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv-oopsla19; oopsla19:length:2.SetSndRcv-oopsla19; oopsla19:length:4.SetSndRcv-oopsla19; oopsla19:length:6.SetSndRcv-oopsla19; oopsla19:length:8.SetSndRcv-oopsla19]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]	010encoding-SetSndRcv-arrays-group:arrays.[arrays:length:0.SetSndRcv-arrays; arrays:length:2.SetSndRcv-arrays; arrays:length:4.SetSndRcv-arrays; arrays:length:6.SetSndRcv-arrays; arrays:length:8.SetSndRcv-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-0					true	3.7947634	2.3297850389990344	187.695104
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-1					true	4.0140225	2.420108721998986	188.346368
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-2					true	4.3995897	2.6493728419991385	226.312192
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-3					true	5.8016097	3.9426078439992125	235.839488
010encoding-SetSndRcv-001-arrays-SetSndRcv-arrays.yml	arrays-4					true	16.3511957	14.268178728001658	234.614784
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-0	true	3.9880908	2.3374168690006627	187.035648				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-1	true	4.1660791	2.5264854910001304	214.249472				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-2	true	4.3506562	2.6151904489997833	228.171776				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-3	true	4.4544683	2.613209913999526	218.030080				
010encoding-SetSndRcv-001-oopsla19-SetSndRcv-oopsla19.yml	oopsla19-4	true	5.2128766	3.0474197490002553	240.848896				
