tool		Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f	Apalache v0.25.3-2-g8c15134f
run set		010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-0					true	3.8669327	2.339363377001064	187.998208
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-1					true	4.1541369	2.457806933000029	199.000064
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-2					true	4.2520322	2.5674516609997227	213.004288
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-3					true	4.5115729	2.6945197239983827	217.628672
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-4					true	4.6682744	2.7853357390013116	230.797312
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-0	true	3.9153826	2.349056289998771	188.452864				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-1	true	4.1483566	2.5033103019995906	192.393216				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-2	true	4.3865452	2.626016124000671	217.964544				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-3	true	5.4140768	3.5167207360009343	232.943616				
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-4	true	13.6327018	11.166918519000319	265.072640				
