tool		Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa
run set		[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-0	true	10.675061	5.982703668999989	369.823744
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-1	true	6.3772397	3.77656977700002	285.188096
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-2	true	11.2653734	6.846157718999962	485.105664
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-3	true	6.8745584	3.980465403999972	310.321152
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-4	true	7.5374014	4.367429541999968	330.723328
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-5	false	6.81607	4.082982531000027	321.478656
001indinv-apalache-001-Bakery-Bakery.yml	-6	true	11.024158	7.077701513000022	502.222848
001indinv-apalache-001-Bakery-Bakery.yml	-7	true	12.2342806	7.804416955000022	558.100480
001indinv-apalache-001-ewd998-atd-ewd998.yml	-8	true	5.1727316	3.140534398	227.287040
001indinv-apalache-001-ewd998-atd-ewd998.yml	-9	true	6.0132169	3.5405973300000255	269.217792
001indinv-apalache-001-ewd998-ewd998.yml	-10	true	9.1326002	5.27002606100001	398.602240
001indinv-apalache-001-ewd998-ewd998.yml	-11	true	11.6162697	6.766972780999993	472.276992
