tool		Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa
run set		010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-0					true	3.3504641	2.1087497460011946	181.256192
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-1					true	3.3759663	2.125956482001129	182.398976
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-2					true	3.4752597	2.1771965980005916	187.682816
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-3					true	3.8083028	2.3379546769992885	211.419136
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-4					true	5.2991349	3.8403095499998017	211.550208
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-0	true	3.366856	2.1042768509996677	184.426496				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-1	true	3.4364634	2.1572163339988037	182.247424				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-2	true	3.5218321	2.1790187479982706	195.575808				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-3	true	3.6916187	2.275532891000694	213.032960				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-4	true	5.2468129	3.6789465670008212	220.233728				
