tool		Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa	Apalache v0.25.3-31-g22dddfaa
run set		010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-0					true	3.4209044	2.146875527998418	179.916800
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-1					true	3.5653232	2.2301941540008556	183.791616
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-2					true	3.6559525	2.255652640000335	203.173888
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-3					true	4.4108001	2.815630290999252	217.063424
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-4					true	9.9215772	8.213841143999161	223.059968
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-0	true	3.3817009	2.1024285210005473	181.841920				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-1	true	3.5205995	2.18536050900002	181.293056				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-2	true	3.7407537	2.289774118000423	214.188032				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-3	true	4.0569176	2.4973776240003644	216.838144				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-4	true	6.0810466	3.816356862000248	238.612480				
