tool		Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	true	1675.4569524	1665.091072264	979.955712
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	true	1296.8178598	1286.4775862899996	830.390272
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	true	190.0173296	186.44893827200008	299.085824
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	true	106.5437102	101.11353998399954	337.313792
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	true	107.3843737	102.06524924800033	329.519104
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	true	36.0467794	31.823539114000596	336.527360
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	true	1662.8247032	1657.8520511939996	369.627136
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	true	1369.8250944	1360.3778231049992	1322.991616
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	true	1188.6411778	1179.4501348699996	1221.914624
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	true	26.9888198	19.799423395000304	601.202688
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	true	11.1642654	6.729158938999717	371.376128
002bmc-apalache-001-APAraft-APAraft.yml	-11	PARSING ERROR	7.4233056	4.086466136999661	249.094144
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	true	5.2889449	3.082791448000023	253.108224
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	true	2878.3770925	2870.5672841289997	582.311936
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	true	4613.3447503	4604.304872326	619.192320
002bmc-apalache-001-Bakery-Bakery.yml	-15	true	538.6873828	531.846001494	485.462016
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	true	73.1135142	68.38949107400003	326.000640
002bmc-apalache-001-ewd998-ewd998.yml	-17	true	221.1846199	214.96084242799952	461.991936
