tool		Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb	Apalache v0.25.6-61-g68342fcb
run set		010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-0					true	3.6690831	2.2363866420018894	188.379136
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-1					true	3.7369023	2.280689456998516	189.206528
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-2					true	3.9948124	2.3756909369985806	220.049408
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-3					true	4.7536061	3.02420290399823	228.745216
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-4					true	10.3402941	8.512114174001908	224.870400
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-0	true	3.7405917	2.282867404999706	194.035712				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-1	true	3.8465289	2.350059048996627	210.620416				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-2	true	3.9496211	2.44158232600239	223.412224				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-3	true	4.3547895	2.648850579000282	226.082816				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-4	true	5.9178938	3.8500781369984907	244.215808				
