tool		Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a
run set		010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-oopsla19-group:oopsla19.[oopsla19:length:0.SetAdd-oopsla19; oopsla19:length:2.SetAdd-oopsla19; oopsla19:length:4.SetAdd-oopsla19; oopsla19:length:6.SetAdd-oopsla19; oopsla19:length:8.SetAdd-oopsla19]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]	010encoding-SetAdd-arrays-group:arrays.[arrays:length:0.SetAdd-arrays; arrays:length:2.SetAdd-arrays; arrays:length:4.SetAdd-arrays; arrays:length:6.SetAdd-arrays; arrays:length:8.SetAdd-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-0					true	4.1049163	2.6229514330007078	191.524864
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-1					true	4.3157606	2.681558401000075	192.032768
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-2					true	4.4250872	2.7753475770005025	192.172032
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-3					true	4.904152	3.0605349900033616	253.333504
010encoding-SetAdd-001-arrays-SetAdd-arrays.yml	arrays-4					true	6.6396075	4.797279342001275	225.845248
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-0	true	4.1436872	2.6471621729979233	186.761216				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-1	true	4.3689654	2.7477702800024417	193.536000				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-2	true	4.4355051	2.7925033020001138	218.841088				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-3	true	4.8773061	2.954178244999639	224.333824				
010encoding-SetAdd-001-oopsla19-SetAdd-oopsla19.yml	oopsla19-4	true	6.7039067	4.656870335998974	230.969344				
