tool		Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a
run set		010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-oopsla19-group:oopsla19.[oopsla19:length:0.SetAddDel-oopsla19; oopsla19:length:2.SetAddDel-oopsla19; oopsla19:length:4.SetAddDel-oopsla19; oopsla19:length:6.SetAddDel-oopsla19; oopsla19:length:8.SetAddDel-oopsla19]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]	010encoding-SetAddDel-arrays-group:arrays.[arrays:length:0.SetAddDel-arrays; arrays:length:2.SetAddDel-arrays; arrays:length:4.SetAddDel-arrays; arrays:length:6.SetAddDel-arrays; arrays:length:8.SetAddDel-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-0					true	4.394169	2.7282497759988473	190.414848
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-1					true	4.461126	2.7975648760002514	192.126976
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-2					true	4.699538	2.9374797609998495	220.524544
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-3					true	5.8228035	3.738484719000553	231.723008
010encoding-SetAddDel-001-arrays-SetAddDel-arrays.yml	arrays-4					true	12.7281639	10.581238474998827	229.302272
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-0	true	4.4798702	2.7564158699969994	193.196032				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-1	true	4.6298627	2.900073015000089	192.970752				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-2	true	4.8384417	2.975481565001246	223.494144				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-3	true	5.2728509	3.186060465999617	226.672640				
010encoding-SetAddDel-001-oopsla19-SetAddDel-oopsla19.yml	oopsla19-4	true	7.778874	4.967507719997229	240.271360				
