tool		Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a	Apalache v0.25.7-2-gbcb75a2a
run set		010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-oopsla19-group:oopsla19.[oopsla19:length:0.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:2.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:4.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:6.SetSndRcv_NoFullDrop-oopsla19; oopsla19:length:8.SetSndRcv_NoFullDrop-oopsla19]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]	010encoding-SetSndRcv_NoFullDrop-arrays-group:arrays.[arrays:length:0.SetSndRcv_NoFullDrop-arrays; arrays:length:2.SetSndRcv_NoFullDrop-arrays; arrays:length:4.SetSndRcv_NoFullDrop-arrays; arrays:length:6.SetSndRcv_NoFullDrop-arrays; arrays:length:8.SetSndRcv_NoFullDrop-arrays]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-0					true	4.8403764	2.9889463629988313	201.486336
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-1					true	5.1331341	3.1419288920005783	205.713408
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-2					true	5.5476582	3.408249372001592	229.281792
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-3					true	7.3369952	4.985134771999583	237.424640
010encoding-SetSndRcv_NoFullDrop-001-arrays-SetSndRcv_NoFullDrop-arrays.yml	arrays-4					true	19.6600122	16.894191637002223	270.733312
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-0	true	4.8808248	3.0228809530017315	204.009472				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-1	true	5.1776287	3.146032872999058	221.032448				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-2	true	5.4163589	3.2934765450008854	231.596032				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-3	true	5.7508244	3.4264470360030828	235.986944				
010encoding-SetSndRcv_NoFullDrop-001-oopsla19-SetSndRcv_NoFullDrop-oopsla19.yml	oopsla19-4	true	6.2050111	3.696198338002432	236.183552				
