tool		Apalache v0.29.2-39-g51554e7d1	Apalache v0.29.2-39-g51554e7d1	Apalache v0.29.2-39-g51554e7d1	Apalache v0.29.2-39-g51554e7d1
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.7053993	0.714142078000009	53.116928
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7041841	0.7086881769999991	52.989952
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.7065613	0.699115575999997	54.677504
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.7218022	0.7630637830000069	56.356864
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.7039067	0.7110751029999847	54.472704
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.7032233	0.7133859680000114	52.973568
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.6998899	0.7113145679999775	52.965376
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.7028244	0.738466499000026	52.846592
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.712711	1.132205244999966	53.174272
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.7056923	0.7215492009999593	53.231616
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.7122018	0.7236288999999942	53.059584
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.713799	0.7258695680000073	53.174272
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.7154375	0.7258924199999797	55.103488
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.7009488	0.7170862680000027	52.936704
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.7013481	0.7306324670000208	53.075968
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.712598	0.7220390789999556	53.202944
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.7062618	0.716157953999982	53.006336
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.7130868	0.6921517510000399	53.063680
