tool		Apalache v0.29.2-9-g4f82ca511	Apalache v0.29.2-9-g4f82ca511	Apalache v0.29.2-9-g4f82ca511	Apalache v0.29.2-9-g4f82ca511
run set		[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]
/home/runner/work/apalache-bench/apalache-bench/examples/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-0	ERROR (1)	0.7061869	0.7128615739999873	50.683904
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-1	ERROR (1)	0.7003276	0.7096937270000012	50.601984
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-2	ERROR (1)	0.6938971	0.7152934099999584	50.708480
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-3	ERROR (1)	0.698592	0.7154487120000113	50.741248
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-4	ERROR (1)	0.6810449	0.6566468710000208	50.561024
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-5	ERROR (1)	0.6745718	0.6600336220000145	50.556928
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-6	ERROR (1)	0.6926922	0.7019607309999856	50.606080
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-7	ERROR (1)	0.6912671	0.7014875049999887	50.794496
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-8	ERROR (1)	0.6531603	0.512083592999943	50.372608
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-9	ERROR (1)	0.6534672	0.5200345119999383	50.167808
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-10	ERROR (1)	0.6411966	0.48840404200007015	51.503104
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-11	ERROR (1)	0.6520987	0.4778431859999728	51.933184
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-12	ERROR (1)	0.6872609	0.7021123140000327	50.610176
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-13	ERROR (1)	0.6892039	0.7194805699999733	50.675712
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-14	ERROR (1)	0.656246	0.4990586029999804	50.429952
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-15	ERROR (1)	0.6589457	0.4799581190000026	51.298304
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-16	ERROR (1)	0.6629616	0.47363710999991326	50.245632
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-17	ERROR (1)	0.6628267	0.48278034600002684	50.241536
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-18	ERROR (1)	0.668435	0.49054016100001263	50.384896
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-19	ERROR (1)	0.6544149	0.47928599400006533	50.462720
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-20	ERROR (1)	0.669153	0.5656548879999264	51.101696
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-21	ERROR (1)	0.6512357	0.4913609860000179	50.126848
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-22	ERROR (1)	0.6689596	0.5744635209999842	50.298880
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-23	ERROR (1)	0.6589659	0.49129628800005776	51.855360
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-24	ERROR (1)	0.6591964	0.4855067019999524	52.035584
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-25	ERROR (1)	0.6644172	0.49627696100003504	50.200576
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-26	ERROR (1)	0.6509742	0.541559330000041	51.847168
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-27	ERROR (1)	0.6715779	0.5262119029999894	50.294784
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-28	ERROR (1)	0.6648449	0.49247750500001075	50.348032
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-29	ERROR (1)	0.6738444	0.5058513039999752	50.753536
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-30	ERROR (1)	0.662271	0.5023253350000232	51.326976
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-31	ERROR (1)	0.6530172	0.4807988170000499	50.114560
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-32	ERROR (1)	0.6757926	0.4720778869999549	51.953664
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-33	ERROR (1)	0.6598702	0.47473273499997504	52.404224
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-34	ERROR (1)	0.6683101	0.4868847069999447	51.826688
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-35	ERROR (1)	0.6659596	0.5102274520000947	51.908608
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-36	ERROR (1)	0.6725859	0.47001336699997864	51.785728
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-37	ERROR (1)	0.660717	0.48273965700002464	51.769344
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-38	ERROR (1)	0.672543	0.48621750799998154	51.937280
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-39	ERROR (1)	0.6648951	0.4852552930000229	51.884032
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-40	ERROR (1)	0.6600336	0.4781761890000098	51.945472
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-41	ERROR (1)	0.6579595	0.4835403680000354	51.949568
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-42	ERROR (1)	0.6562935	0.4829085530000157	50.184192
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-43	ERROR (1)	0.6702212	0.4849833829999852	50.397184
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-44	ERROR (1)	0.6479818	0.49317530400003307	51.695616
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-45	ERROR (1)	0.6730744	0.48190403700004936	54.935552
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-46	ERROR (1)	0.6432333	0.49154758700001366	51.294208
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-47	ERROR (1)	0.6499719	0.4815090380000129	52.211712
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-48	ERROR (1)	0.6543286	0.47658765799997127	51.920896
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-49	ERROR (1)	0.6622266	0.4864094039999145	51.625984
