tool		Apalache v0.30.0-7-g20b0c4fda	Apalache v0.30.0-7-g20b0c4fda	Apalache v0.30.0-7-g20b0c4fda	Apalache v0.30.0-7-g20b0c4fda
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.6997184	0.6820995709999806	52.895744
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7011715	0.6436154219999253	52.944896
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.7146181	0.7012513039999249	53.215232
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.6932433	0.7032388740000215	52.961280
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.671397	0.6130469360000461	54.681600
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.7176736	0.6977993680000054	53.227520
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.6974096	0.7185712320000448	52.891648
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.7136516	0.7265331329999754	53.166080
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.7092869	0.7262739300000476	53.051392
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.7064259	0.7233347269999513	53.039104
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.7095623	0.7269589730000234	53.223424
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.7125604	0.7182533139999805	53.022720
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.7292551	0.7346017120000852	53.362688
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.71426	0.7270251400000234	53.157888
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.7176483	0.7198101860000179	53.088256
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.7153109	0.6773975099999916	53.305344
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.7094953	0.6802329690000306	53.141504
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.7131432	0.6783661470000197	53.366784
