tool		Apalache v0.30.0-7-g20b0c4fda	Apalache v0.30.0-7-g20b0c4fda	Apalache v0.30.0-7-g20b0c4fda	Apalache v0.30.0-7-g20b0c4fda
run set		[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]	[Cmd-arrays-true-before.task-MC10_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC10_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC10_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC10_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC4_FALSE_FALSE.tla; Cmd-oopsla19-true-before.task-MC4_FALSE_FALSE.tla; Cmd-arrays-true-before.task-MC4_TRUE_TRUE.tla; Cmd-oopsla19-true-before.task-MC4_TRUE_TRUE.tla; Cmd-arrays-true-before.task-MC10.tla; Cmd-oopsla19-true-before.task-MC10.tla; Cmd-arrays-true-before.task-MC20.tla; Cmd-oopsla19-true-before.task-MC20.tla; Cmd-arrays-true-before.task-MC4.tla; Cmd-oopsla19-true-before.task-MC4.tla; Cmd-arrays-true-before.task-MC3.tla; Cmd-oopsla19-true-before.task-MC3.tla; Cmd-arrays-true-before.task-MC5.tla; Cmd-oopsla19-true-before.task-MC5.tla; Cmd-arrays-true-before.task-Royal.tla; Cmd-oopsla19-true-before.task-Royal.tla]
/home/runner/work/apalache-bench/apalache-bench/examples/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-0	ERROR (1)	0.7176278	0.7351975430000266	53.350400
005examples-apalache-001-run-2PCwithBTM-MC10_FALSE_FALSE.tla-task-MC10_FALSE_FALSE.tla.yml	-1	ERROR (1)	0.6982377	0.6928988710000112	53.080064
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-2	ERROR (1)	0.6991771	0.6928544159999319	52.969472
005examples-apalache-001-run-2PCwithBTM-MC10_TRUE_TRUE.tla-task-MC10_TRUE_TRUE.tla.yml	-3	ERROR (1)	0.702208	0.6981429779999644	53.026816
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-4	ERROR (1)	0.7199846	0.7258748250000053	53.444608
005examples-apalache-001-run-2PCwithBTM-MC4_FALSE_FALSE.tla-task-MC4_FALSE_FALSE.tla.yml	-5	ERROR (1)	0.6961371	0.7124670549999337	53.067776
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-6	ERROR (1)	0.7127689	0.7230914890000122	53.141504
005examples-apalache-001-run-2PCwithBTM-MC4_TRUE_TRUE.tla-task-MC4_TRUE_TRUE.tla.yml	-7	ERROR (1)	0.7167219	0.7239347000000862	55.590912
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-8	ERROR (1)	0.6825133	0.5164989499999137	52.875264
005examples-apalache-001-run-aba_asyn_byz-MC10.tla-task-MC10.tla.yml	-9	ERROR (1)	0.6787397	0.5013036200000442	54.468608
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-10	ERROR (1)	0.6873715	0.5539171870000246	54.132736
005examples-apalache-001-run-aba_asyn_byz-MC20.tla-task-MC20.tla.yml	-11	ERROR (1)	0.6876751	0.5468505490000553	53.727232
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-12	ERROR (1)	0.735747	0.7281768300000522	55.029760
005examples-apalache-001-run-aba_asyn_byz-MC4.tla-task-MC4.tla.yml	-13	ERROR (1)	0.7025188	0.6966577609999831	54.149120
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-14	ERROR (1)	0.6858267	0.5075102260000222	53.997568
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-15	ERROR (1)	0.6648451	0.5030161690000341	54.861824
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-16	ERROR (1)	0.686625	0.5007710899999438	53.018624
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-17	ERROR (1)	0.6766634	0.49071696599992265	54.542336
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-18	ERROR (1)	0.6793657	0.4856827840000051	53.575680
005examples-apalache-001-run-bakery-MC10.tla-task-MC10.tla.yml	-19	ERROR (1)	0.6798868	0.495039993999967	54.005760
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-20	ERROR (1)	0.672266	0.5180031989999634	54.493184
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-21	ERROR (1)	0.675722	0.5013835539999718	52.973568
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-22	ERROR (1)	0.6921059	0.5690456060000315	52.985856
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-23	ERROR (1)	0.6771181	0.5195021019999331	54.317056
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-24	ERROR (1)	0.6803463	0.5031790879999107	53.587968
005examples-apalache-001-run-bakery-MC3.tla-task-MC3.tla.yml	-25	ERROR (1)	0.6774384	0.5179129549999288	53.510144
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-26	ERROR (1)	0.689202	0.556966052000007	53.805056
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-27	ERROR (1)	0.6706778	0.4806369850000465	52.850688
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-28	ERROR (1)	0.68648	0.5108362749999742	53.755904
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-29	ERROR (1)	0.6784047	0.515192025000033	52.961280
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-30	ERROR (1)	0.6863675	0.5158207320000656	53.985280
005examples-apalache-001-run-bakery-MC5.tla-task-MC5.tla.yml	-31	ERROR (1)	0.6743705	0.4878696160000118	53.858304
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-32	ERROR (1)	0.674382	0.48255444699998407	52.801536
005examples-apalache-001-run-changRoberts-MC10.tla-task-MC10.tla.yml	-33	ERROR (1)	0.6727773	0.4866742950000571	53.805056
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-34	ERROR (1)	0.6764392	0.5035431929999277	53.780480
005examples-apalache-001-run-changRoberts-MC4.tla-task-MC4.tla.yml	-35	ERROR (1)	0.6813683	0.5051062110001112	53.108736
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-36	ERROR (1)	0.6690014	0.5134624309999936	53.665792
005examples-apalache-001-run-ewd998-MC10.tla-task-MC10.tla.yml	-37	ERROR (1)	0.6799151	0.4886236849999932	53.018624
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-38	ERROR (1)	0.6874653	0.5169893500000171	52.850688
005examples-apalache-001-run-ewd998-MC4.tla-task-MC4.tla.yml	-39	ERROR (1)	0.6891017	0.5051894120000497	53.153792
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-40	ERROR (1)	0.6899701	0.53439123499993	52.645888
005examples-apalache-001-run-paxos-MC3.tla-task-MC3.tla.yml	-41	ERROR (1)	0.680651	0.5052346850000049	52.883456
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-42	ERROR (1)	0.6714333	0.4896089959999017	52.666368
005examples-apalache-001-run-readersWriters-MC10.tla-task-MC10.tla.yml	-43	ERROR (1)	0.6842819	0.48532054500003596	53.669888
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-44	ERROR (1)	0.6574639	0.49533496600008675	52.744192
005examples-apalache-001-run-readersWriters-MC20.tla-task-MC20.tla.yml	-45	ERROR (1)	0.6742047	0.4860037979999561	53.841920
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-46	ERROR (1)	0.690546	0.5200710640000352	52.903936
005examples-apalache-001-run-readersWriters-MC4.tla-task-MC4.tla.yml	-47	ERROR (1)	0.6949849	0.5424029320000727	55.771136
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-48	ERROR (1)	0.6715109	0.48912528799996835	53.800960
005examples-apalache-001-run-royal-Royal.tla-task-Royal.tla.yml	-49	ERROR (1)	0.679627	0.4889055849999977	53.911552
