tool		Apalache v0.30.1-123-g87be6997d	Apalache v0.30.1-123-g87be6997d	Apalache v0.30.1-123-g87be6997d	Apalache v0.30.1-123-g87be6997d
run set		[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.6837406	0.48835153099997797	54.018048
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.6798926	0.4788875020000205	54.595584
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-2	ERROR (1)	0.6759158	0.4791469040000038	54.644736
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-3	ERROR (1)	0.6722575	0.4751778350000109	54.636544
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-4	ERROR (1)	0.6849728	0.47761841599998434	54.181888
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-5	ERROR (1)	0.6840291	0.484475663000012	56.090624
001indinv-apalache-001-Bakery-Bakery.yml	-6	ERROR (1)	0.6762199	0.47573613699995576	54.484992
001indinv-apalache-001-Bakery-Bakery.yml	-7	ERROR (1)	0.6816106	0.4940609889999905	54.521856
001indinv-apalache-001-ewd998-atd-ewd998.yml	-8	ERROR (1)	0.682188	0.47963070100001914	54.046720
001indinv-apalache-001-ewd998-atd-ewd998.yml	-9	ERROR (1)	0.6786647	0.4750120479999964	54.149120
001indinv-apalache-001-ewd998-ewd998.yml	-10	ERROR (1)	0.6749236	0.477357617999985	56.373248
001indinv-apalache-001-ewd998-ewd998.yml	-11	ERROR (1)	0.6803575	0.48450896299999613	55.894016
