tool		Apalache v0.30.1-123-g87be6997d	Apalache v0.30.1-123-g87be6997d	Apalache v0.30.1-123-g87be6997d	Apalache v0.30.1-123-g87be6997d
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.6714103	0.47752745600001845	54.542336
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7095961	0.49949008900000536	54.603776
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.6699275	0.4762242660000311	54.624256
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.6911466	0.4941636290000133	54.497280
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.6767996	0.47772575400000505	54.603776
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.6805271	0.47941604099997903	54.489088
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.678263	0.4809148299999606	54.489088
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.6771189	0.48035723399999597	54.706176
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.6834705	0.5012724740000181	54.632448
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.685374	0.48865857099997356	54.493184
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.6887262	0.4856877940000004	54.587392
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.6855209	0.4814576249999618	54.603776
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.676633	0.4692963190000228	54.554624
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.6740831	0.4763634650000199	56.496128
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.6768208	0.48008333600000697	54.648832
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.6656568	0.4719836989999635	54.616064
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.6756491	0.48650958600001104	54.571008
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.6782108	0.4788871449999874	54.603776
