tool		Apalache v0.30.1-27-g0795560e3	Apalache v0.30.1-27-g0795560e3	Apalache v0.30.1-27-g0795560e3	Apalache v0.30.1-27-g0795560e3
run set		[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.7061306	0.7445573649999915	53.194752
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7140961	0.7385488659999737	53.370880
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-2	ERROR (1)	0.7074573	0.6644784090000257	53.133312
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-3	ERROR (1)	0.7243434	0.6944913929999643	53.600256
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-4	ERROR (1)	0.7048528	0.6706344609999633	53.268480
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-5	ERROR (1)	0.7081762	0.6863911140000027	53.170176
001indinv-apalache-001-Bakery-Bakery.yml	-6	ERROR (1)	0.7168551	0.7251102470000319	55.717888
001indinv-apalache-001-Bakery-Bakery.yml	-7	ERROR (1)	0.7102897	0.7167762109999671	53.305344
001indinv-apalache-001-ewd998-atd-ewd998.yml	-8	ERROR (1)	0.696208	0.6522286119999876	53.010432
001indinv-apalache-001-ewd998-atd-ewd998.yml	-9	ERROR (1)	0.7029368	0.6489424589999544	53.080064
001indinv-apalache-001-ewd998-ewd998.yml	-10	ERROR (1)	0.7074202	0.6695290900000259	53.157888
001indinv-apalache-001-ewd998-ewd998.yml	-11	ERROR (1)	0.7164814	0.7072032979999676	53.403648
