tool		Apalache v0.30.1-40-g6149d4122	Apalache v0.30.1-40-g6149d4122	Apalache v0.30.1-40-g6149d4122	Apalache v0.30.1-40-g6149d4122
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.8350515	0.833222869999986	53.149696
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.8560264	0.8955772860000479	53.252096
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.8123361	0.810666470000001	53.420032
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.8743359	0.8133093860000145	53.575680
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.8512364	0.8384505080000508	53.456896
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.7701509	0.5675737840000465	53.665792
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.7591109	0.5567795360000218	53.612544
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.8169487	0.7813365839999733	53.665792
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.7822268	0.7202617020000162	53.174272
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.8100174	0.7722335429999703	53.018624
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.8407895	0.8631588160000092	53.252096
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.7819347	0.565931012999954	55.439360
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.7873979	0.8059756800000741	53.374976
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.7506554	0.5557595029999902	54.923264
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.7823506	0.613101350000079	53.760000
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.9001188	0.9422017529999493	53.424128
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.7973568	0.6367531939999935	54.063104
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.7521563	0.5672840249999354	52.981760
