tool		Apalache v0.30.1-91-gad8be0a66	Apalache v0.30.1-91-gad8be0a66	Apalache v0.30.1-91-gad8be0a66	Apalache v0.30.1-91-gad8be0a66
run set		[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]	[--init=InvAndTypeOK.APAEWD840; no init.APAEWD840; --init=InitInv.APATwoPhase.tla; no init.APATwoPhase.tla; --init=IndInv_Unforg_NoBcast.APAbcastByz.tla; --init=InitNoBcast.APAbcastByz.tla; --init=Init.Bakery; --init=Inv.Bakery; inductive base.ewd998; inductive step.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.7275543	0.7356070650000106	53.395456
001indinv-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7161008	0.7086558269999728	54.530048
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-2	ERROR (1)	0.7032696	0.6646596889999614	54.292480
001indinv-apalache-001-APATwoPhase-APATwoPhase.tla.yml	-3	ERROR (1)	0.7001886	0.667469361999963	54.362112
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-4	ERROR (1)	0.6970089	0.6927943139999684	54.714368
001indinv-apalache-001-APAbcastByz-APAbcastByz.tla.yml	-5	ERROR (1)	0.7123621	0.69757496699998	54.681600
001indinv-apalache-001-Bakery-Bakery.yml	-6	ERROR (1)	0.7152927	0.7226632910000035	54.333440
001indinv-apalache-001-Bakery-Bakery.yml	-7	ERROR (1)	0.7093524	0.7269031000000155	54.194176
001indinv-apalache-001-ewd998-atd-ewd998.yml	-8	ERROR (1)	0.7031112	0.6703750249999985	53.370880
001indinv-apalache-001-ewd998-atd-ewd998.yml	-9	ERROR (1)	0.7006037	0.6803552289999857	54.657024
001indinv-apalache-001-ewd998-ewd998.yml	-10	ERROR (1)	0.6942507	0.6484188480000057	53.993472
001indinv-apalache-001-ewd998-ewd998.yml	-11	ERROR (1)	0.7080139	0.7175228720000177	53.248000
