tool		Apalache v0.30.2-2-g353ad9df2	Apalache v0.30.2-2-g353ad9df2	Apalache v0.30.2-2-g353ad9df2	Apalache v0.30.2-2-g353ad9df2
run set		[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]	[length-30.APAEWD840; APAPrisoners.APAPrisoners; APASimpleAllocator.APASimpleAllocator; ConstInit3.APATwoPhase; ConstInit7.APATwoPhase; ConstInit6.APAbcastByz; ConstInit20.APAbcastFolklore; ConstInit4.APAbcastFolklore; APAraft.APAraft; APATraffic.APATraffic; Apa3Paxos.Apa3Paxos; Apa5Paxos.Apa5Paxos; MutualExlusion-invariant.Bakery; ewd998-atd.ewd998-atd; ewd998.ewd998]
/home/runner/work/apalache-bench/apalache-bench/performance/target/scala-2.13/resource_managed/main/		status	cputime (s)	walltime (s)	memory (MB)
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-0	ERROR (1)	0.7307626	0.7218833059999952	55.955456
002bmc-apalache-001-APAEWD840-APAEWD840.yml	-1	ERROR (1)	0.7171312	0.7136669330000132	54.317056
002bmc-apalache-001-APAPrisoners-APAPrisoners.yml	-2	ERROR (1)	0.7404938	0.7062114169999631	55.107584
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-3	ERROR (1)	0.7236598	0.6840860710000243	54.763520
002bmc-apalache-001-APASimpleAllocator-APASimpleAllocator.yml	-4	ERROR (1)	0.7321017	0.7478465369999867	54.030336
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-5	ERROR (1)	0.7183534	0.5597908439999628	54.792192
002bmc-apalache-001-APATwoPhase-APATwoPhase.yml	-6	ERROR (1)	0.6979761	0.5224988349999649	53.936128
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-7	ERROR (1)	0.7327823	0.7521303710000211	56.733696
002bmc-apalache-001-APAbcastByz-APAbcastByz.yml	-8	ERROR (1)	0.735754	0.7239645859999655	54.796288
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-9	ERROR (1)	0.7431107	0.751989008999999	54.542336
002bmc-apalache-001-APAbcastFolklore-APAbcastFolklore.yml	-10	ERROR (1)	0.7289391	0.7342096920000358	54.820864
002bmc-apalache-001-APAraft-APAraft.yml	-11	ERROR (1)	0.6872333	0.5188927279999689	55.025664
002bmc-apalache-001-APAtraffic-APATraffic.yml	-12	ERROR (1)	0.7187819	0.7384623110000348	54.902784
002bmc-apalache-001-Apa3Paxos-Apa3Paxos.yml	-13	ERROR (1)	0.686023	0.5269346860000041	54.468608
002bmc-apalache-001-Apa5Paxos-Apa5Paxos.yml	-14	ERROR (1)	0.6840495	0.5303435710000031	54.423552
002bmc-apalache-001-Bakery-Bakery.yml	-15	ERROR (1)	0.7276744	0.7281156619999365	55.160832
002bmc-apalache-001-ewd998-atd-ewd998-atd.yml	-16	ERROR (1)	0.6944467	0.5226121069999863	56.602624
002bmc-apalache-001-ewd998-ewd998.yml	-17	ERROR (1)	0.6979959	0.509254822999992	54.644736
